Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
211.07,0.13,1.12,9.13,29.88,90.0,24.1,17.25,33.75,-16.05,13.91
211.11,0.13,0.32,9.29,29.88,90.0,24.1,17.85,32.85,-14.80,10.17
211.15,0.18,0.27,9.13,29.88,90.0,24.1,17.61,33.29,-11.05,8.92
211.19,0.19,0.33,9.14,29.88,90.0,24.1,17.25,33.52,-9.80,8.92
211.23,0.14,0.14,9.27,29.88,90.0,24.1,17.49,33.52,-6.05,5.19
211.27,0.16,0.03,9.16,29.88,90.0,24.1,17.61,33.52,-2.30,3.94
211.31,0.18,-0.32,9.20,29.88,90.0,24.1,17.73,33.52,-1.05,-1.05
211.35,0.17,-0.30,9.18,29.88,90.0,24.1,17.61,33.07,0.20,-3.54
211.39,0.17,-0.31,9.25,29.88,90.0,24.1,17.37,33.52,5.20,-6.03
211.43,0.15,-0.27,9.18,29.88,90.0,24.1,17.37,33.52,7.70,-8.53
211.47,0.16,-0.48,9.37,29.88,90.0,24.1,17.61,33.52,10.20,-9.77
211.51,0.18,-0.43,9.19,29.88,90.0,24.1,17.49,33.52,13.95,-12.27
211.55,0.18,-0.38,9.18,29.88,90.0,24.1,18.09,33.29,15.20,-14.76
211.59,0.15,-0.47,9.30,29.88,90.0,24.1,17.97,33.29,15.20,-17.25
211.63,0.16,-0.26,9.22,29.88,90.0,24.1,17.61,33.29,17.70,-18.50
211.67,0.16,-0.39,9.27,29.88,90.0,24.1,17.73,33.52,18.95,-20.99
211.71,0.21,-0.29,9.18,29.88,90.0,24.1,17.13,33.52,20.20,-20.99
211.75,0.18,-0.16,9.20,29.88,90.0,24.1,17.61,33.29,20.20,-23.48
211.79,0.17,-0.14,9.25,29.88,90.0,24.1,17.73,33.75,21.45,-24.73
211.83,0.17,-0.11,9.19,29.88,90.0,24.1,17.61,33.52,22.70,-24.73
211.87,0.14,-0.05,9.22,29.88,90.0,24.1,17.85,33.52,23.95,-24.73
211.91,0.20,0.19,9.21,29.88,90.0,24.1,17.73,33.29,23.95,-24.73
211.95,0.16,0.40,9.21,29.88,90.0,24.1,17.13,33.52,23.95,-23.48
211.99,0.17,0.34,9.17,29.88,90.0,24.1,18.09,33.07,21.45,-22.24
212.03,0.19,0.49,9.17,29.88,90.0,24.1,17.49,33.29,20.20,-18.50
212.07,0.16,0.68,9.17,29.88,90.0,24.1,17.61,33.29,21.45,-16.00
212.11,0.16,0.80,9.18,29.88,90.0,24.1,17.73,33.07,18.95,-13.51
212.15,0.15,1.03,9.13,29.88,90.0,24.1,17.25,33.29,16.45,-11.02
212.19,0.15,1.10,9.13,29.88,90.0,24.1,17.73,33.07,15.20,-8.53
212.23,0.15,1.35,9.17,29.88,90.0,24.1,17.37,33.29,11.45,-3.54
212.27,0.16,1.49,9.14,29.88,90.0,24.1,17.49,33.29,10.20,-1.05
212.31,0.13,1.61,9.17,29.88,90.0,24.1,17.61,33.52,7.70,2.69
212.35,0.13,1.84,9.16,29.88,90.0,24.1,17.73,33.07,3.95,6.43
212.39,0.10,1.88,9.14,29.88,90.0,24.1,17.85,33.29,1.45,8.92
212.43,0.17,1.95,9.19,29.88,90.0,24.1,17.13,32.19,-1.05,12.66
212.47,0.11,2.30,9.12,29.88,90.0,24.1,17.85,33.52,-3.55,15.16
212.51,0.11,2.10,9.11,29.88,90.0,24.1,17.25,33.07,-6.05,17.65
212.55,0.12,2.06,9.12,29.88,90.0,24.1,17.61,33.52,-8.55,18.90
212.59,0.13,2.31,9.16,29.88,90.0,24.1,17.73,33.07,-12.30,21.39
212.63,0.12,2.16,9.18,29.88,90.0,24.1,17.49,33.29,-14.80,21.39
212.67,0.11,2.08,9.15,29.88,90.0,24.1,17.49,33.52,-16.05,23.88
212.71,0.14,2.01,9.13,29.88,90.0,24.1,17.61,33.29,-18.55,25.13
212.75,0.15,1.95,9.18,29.88,90.0,24.1,17.25,33.52,-19.80,25.13
212.79,0.16,1.91,9.11,29.88,90.0,24.1,17.97,33.52,-21.05,23.88
212.83,0.11,1.74,9.10,29.88,90.0,24.1,17.61,33.29,-23.55,22.64
212.87,0.19,1.61,9.24,29.88,90.0,24.1,17.73,33.07,-23.55,21.39
212.91,0.12,1.40,9.17,29.88,90.0,24.1,17.49,33.07,-23.55,22.64
212.95,0.17,1.47,9.04,29.88,90.0,24.1,17.49,33.07,-23.55,21.39
212.99,0.20,0.71,9.24,29.88,90.0,24.1,17.85,33.52,-22.30,20.14
213.03,0.15,1.04,9.08,29.88,90.0,24.1,17.01,33.07,-21.05,17.65
213.07,0.10,1.03,9.15,29.88,90.0,24.1,17.49,33.52,-18.55,15.16
213.11,0.20,0.45,9.12,29.88,90.0,24.1,17.61,33.29,-14.80,15.16
213.15,0.17,0.39,9.17,29.88,90.0,24.1,17.61,33.29,-13.55,11.42
213.19,0.13,0.26,9.20,29.88,90.0,24.1,17.85,33.29,-9.80,10.17
213.23,0.19,0.11,9.17,29.88,90.0,24.1,17.25,33.52,-7.30,10.17
213.27,0.16,0.32,9.16,29.88,90.0,24.1,17.61,33.52,-4.80,6.43
213.31,0.19,-0.16,9.18,29.88,90.0,24.1,17.73,32.85,-2.30,2.69
213.35,0.19,-0.76,9.22,29.88,90.0,24.1,17.37,33.52,1.45,2.69
213.39,0.19,-0.02,9.15,29.88,90.0,24.1,17.37,33.52,5.20,-1.05
213.43,0.17,-0.25,9.28,29.88,90.0,24.1,17.85,33.29,7.70,-4.79
213.47,0.20,-0.53,9.28,29.88,90.0,24.1,17.61,33.29,10.20,-7.28
213.51,0.21,-0.28,9.19,29.88,90.0,24.1,17.25,33.29,11.45,-9.77
213.55,0.16,-0.47,9.30,29.88,90.0,24.1,17.25,33.29,15.20,-12.27
213.59,0.21,-0.35,9.23,29.88,90.0,24.1,17.61,33.07,15.20,-14.76
213.63,0.14,-0.31,9.22,29.88,90.0,24.1,17.37,33.07,16.45,-16.00
213.67,0.20,-0.33,9.22,29.88,90.0,24.1,17.49,33.29,17.70,-18.50
213.71,0.19,-0.31,9.20,29.88,90.0,24.1,17.73,33.07,18.95,-19.74
213.75,0.15,-0.17,9.21,29.88,90.0,24.1,17.25,33.07,20.20,-22.24
213.79,0.17,-0.19,9.21,29.88,90.0,24.1,17.85,33.29,21.45,-22.24
213.83,0.15,-0.10,9.21,29.88,90.0,24.1,17.25,33.29,21.45,-23.48
213.87,0.17,0.01,9.19,29.88,90.0,24.1,17.73,33.29,25.20,-23.48
213.91,0.19,0.05,9.19,29.88,90.0,24.1,17.61,33.07,22.70,-25.98
213.95,0.14,0.36,9.18,29.88,90.0,24.1,17.49,33.07,22.70,-22.24
213.99,0.16,0.39,9.17,29.88,90.0,24.1,17.49,33.29,21.45,-23.48
214.03,0.21,0.42,9.15,29.88,90.0,24.1,17.25,33.29,22.70,-19.74
214.07,0.16,0.73,9.17,29.88,90.0,24.1,17.85,33.29,21.45,-16.00
214.11,0.13,0.78,9.21,29.88,90.0,24.1,17.13,33.52,20.20,-13.51
214.15,0.13,0.99,9.13,29.88,90.0,24.1,17.97,33.29,17.70,-11.02
214.19,0.18,1.11,9.12,29.88,90.0,24.1,17.73,33.07,15.20,-8.53
214.23,0.18,1.25,9.14,29.88,90.0,24.1,17.73,33.07,12.70,-6.03
214.27,0.17,1.48,9.15,29.88,90.0,24.1,17.37,33.29,11.45,-2.29
214.31,0.13,1.69,9.16,29.88,90.0,24.1,17.73,33.52,7.70,1.45
214.35,0.09,1.78,9.14,29.88,90.0,24.1,17.25,33.07,5.20,5.19
214.39,0.13,1.80,9.16,29.88,90.0,24.1,17.73,33.75,2.70,10.17
214.43,0.15,2.05,9.12,29.88,90.0,24.1,17.49,33.07,0.20,12.66
214.47,0.10,2.23,9.17,29.88,90.0,24.1,17.49,33.29,-2.30,13.91
214.51,0.10,2.11,9.14,29.88,90.0,24.1,17.13,33.52,-7.30,16.40
214.55,0.15,2.09,9.15,29.88,90.0,24.1,17.97,33.07,-9.80,18.90
214.59,0.15,2.25,9.13,29.88,90.0,24.1,17.61,33.52,-11.05,21.39
214.63,0.16,2.22,9.14,29.88,90.0,24.1,17.73,33.07,-13.55,21.39
214.67,0.14,2.16,9.14,29.88,90.0,24.1,17.73,33.07,-17.30,23.88
214.71,0.13,1.99,9.15,29.88,90.0,24.1,17.37,33.52,-17.30,25.13
214.75,0.17,2.00,9.15,29.88,90.0,24.1,17.49,33.29,-21.05,23.88
214.79,0.14,1.90,9.11,29.88,90.0,24.1,17.73,33.07,-22.30,23.88
214.83,0.07,1.76,9.11,29.88,90.0,24.1,17.25,33.07,-21.05,23.88
214.87,0.21,1.73,9.15,29.88,90.0,24.1,17.25,33.07,-23.55,22.64
214.91,0.11,1.64,9.14,29.88,90.0,24.1,17.97,33.29,-22.30,22.64
214.95,0.18,1.42,9.19,29.88,90.0,24.1,17.61,33.07,-23.55,21.39
214.99,0.13,1.02,9.11,29.88,90.0,24.1,17.61,33.52,-22.30,20.14
215.03,0.15,0.89,9.11,29.88,90.0,24.1,17.73,32.85,-21.05,16.40
215.07,0.18,1.04,9.17,29.88,90.0,24.1,17.73,33.52,-17.30,16.40
215.11,0.13,0.87,9.19,29.88,90.0,24.1,17.73,33.07,-17.30,15.16
215.15,0.16,0.07,9.21,29.88,90.0,24.1,17.37,33.29,-12.30,12.66
215.19,0.17,0.21,9.20,29.88,90.0,24.1,17.73,33.29,-11.05,10.17
215.23,0.16,0.42,9.22,29.88,90.0,24.1,17.61,33.52,-8.55,7.68
215.27,0.14,0.15,9.17,29.88,90.0,24.1,17.73,33.52,-6.05,5.19
215.31,0.18,-0.21,9.21,29.88,90.0,24.1,17.61,33.07,-2.30,3.94
215.35,0.20,-0.36,9.24,29.88,90.0,24.1,17.37,33.29,0.20,2.69
215.39,0.14,-0.15,9.27,29.88,90.0,24.1,17.97,33.07,2.70,-2.29
215.43,0.17,-0.26,9.22,29.88,90.0,24.1,17.61,33.07,7.70,-4.79
215.47,0.22,-0.26,9.10,29.88,90.0,24.1,17.61,32.85,10.20,-6.03
215.51,0.16,-0.31,9.20,29.88,90.0,24.1,17.73,33.52,13.95,-8.53
215.55,0.17,-0.50,9.23,29.88,90.0,24.1,17.25,33.52,15.20,-12.27
215.59,0.17,-0.37,9.18,29.88,90.0,24.1,17.13,33.29,16.45,-11.02
215.63,0.11,-0.32,9.30,29.88,90.0,24.1,17.61,33.07,16.45,-17.25
215.67,0.20,-0.40,9.20,29.88,90.0,24.1,17.61,33.52,17.70,-18.50
215.71,0.18,-0.29,9.18,29.88,90.0,24.1,18.56,33.29,18.95,-19.74
215.75,0.17,-0.23,9.21,29.88,90.0,24.1,17.01,33.52,20.20,-20.99
215.79,0.12,-0.12,9.26,29.88,90.0,24.1,17.49,33.29,20.20,-23.48
215.83,0.17,-0.21,9.23,29.88,90.0,24.1,17.49,33.29,21.45,-24.73
215.87,0.17,-0.00,9.23,29.88,90.0,24.1,17.25,33.52,23.95,-24.73
215.91,0.19,0.05,9.17,29.88,90.0,24.1,17.61,33.07,23.95,-24.73
215.95,0.15,0.23,9.22,29.88,90.0,24.1,17.49,33.29,25.20,-23.48
215.99,0.18,0.47,9.17,29.88,90.0,24.1,17.49,33.29,22.70,-20.99
216.03,0.18,0.32,9.17,29.88,90.0,24.1,17.01,33.29,20.20,-20.99
216.07,0.16,0.59,9.14,29.88,90.0,24.1,17.85,33.07,20.20,-18.50
216.11,0.13,0.85,9.17,29.88,90.0,24.1,17.85,33.29,20.20,-14.76
216.15,0.16,0.84,9.19,29.88,90.0,24.1,17.49,33.29,17.70,-11.02
216.19,0.18,1.14,9.17,29.88,90.0,24.1,18.09,33.29,15.20,-11.02
216.23,0.16,1.20,9.19,29.88,90.0,24.1,17.61,33.29,12.70,-7.28
216.27,0.12,1.33,9.16,29.88,90.0,24.1,17.61,33.07,10.20,-2.29
216.31,0.12,1.77,9.12,29.88,90.0,24.1,17.61,33.29,8.95,0.20
216.35,0.18,1.75,9.13,29.88,90.0,24.1,17.61,33.52,6.45,6.43
216.39,0.18,1.68,9.18,29.88,90.0,24.1,17.61,33.29,2.70,8.92
216.43,0.15,2.04,9.15,29.88,90.0,24.1,17.49,33.07,-1.05,10.17
216.47,0.14,2.09,9.18,29.88,90.0,24.1,17.61,33.29,-2.30,13.91
216.51,0.15,2.12,9.16,29.88,90.0,24.1,17.85,33.07,-7.30,16.40
216.55,0.14,2.18,9.14,29.88,90.0,24.1,17.37,32.85,-8.55,18.90
216.59,0.10,2.18,9.12,29.88,90.0,24.1,17.49,33.07,-12.30,20.14
216.63,0.15,2.22,9.13,29.88,90.0,24.1,17.49,33.29,-13.55,22.64
216.67,0.10,2.23,9.16,29.88,90.0,24.1,17.61,33.07,-16.05,23.88
216.71,0.15,2.02,9.17,29.88,90.0,24.1,17.73,33.29,-17.30,26.37
216.75,0.16,1.90,9.15,29.88,90.0,24.1,17.49,33.07,-19.80,25.13
216.79,0.10,2.05,9.09,29.88,90.0,24.1,17.61,33.52,-21.05,25.13
216.83,0.11,1.90,9.08,29.88,90.0,24.1,17.25,33.29,-22.30,25.13
216.87,0.07,1.46,9.28,29.88,90.0,24.1,17.61,33.29,-23.55,22.64
216.91,0.15,1.78,9.06,29.88,90.0,24.1,17.49,33.07,-23.55,22.64
216.95,0.11,1.36,9.22,29.88,90.0,24.1,17.37,33.52,-23.55,21.39
216.99,0.14,1.00,9.13,29.88,90.0,24.1,17.85,32.63,-22.30,20.14
217.03,0.19,0.92,9.17,29.88,90.0,24.1,17.49,33.29,-21.05,17.65
217.07,0.10,0.97,9.23,29.88,90.0,24.1,17.73,32.85,-18.55,16.40
217.11,0.14,0.78,9.03,29.88,90.0,24.1,17.49,33.07,-17.30,13.91
217.15,0.17,0.23,9.26,29.88,90.0,24.1,17.85,33.29,-12.30,13.91
217.19,0.17,0.35,9.17,29.88,90.0,24.1,17.49,33.29,-11.05,11.42
217.23,0.13,0.43,9.12,29.88,90.0,24.1,17.01,33.29,-9.80,8.92
217.27,0.19,0.08,9.20,29.88,90.0,24.1,17.37,33.52,-4.80,6.43
217.31,0.18,0.06,9.20,29.88,90.0,24.1,17.61,33.07,-3.55,5.19
217.35,0.21,-0.28,9.19,29.88,90.0,24.1,17.49,33.07,-1.05,1.45
217.39,0.21,-0.32,9.19,29.88,90.0,24.1,17.85,33.52,2.70,-1.05
217.43,0.14,-0.29,9.23,29.88,90.0,24.1,17.49,33.29,5.20,-2.29
217.47,0.20,-0.24,9.20,29.88,90.0,24.1,17.49,33.29,8.95,-7.28
217.51,0.13,-0.52,9.27,29.88,90.0,24.1,17.25,33.52,11.45,-7.28
217.55,0.19,-0.30,9.13,29.88,90.0,24.1,17.49,33.07,12.70,-12.27
217.59,0.15,-0.30,9.27,29.88,90.0,24.1,17.97,33.52,16.45,-13.51
217.63,0.15,-0.39,9.30,29.88,90.0,24.1,17.49,33.52,16.45,-13.51
217.67,0.19,-0.36,9.21,29.88,90.0,24.1,17.73,33.52,18.95,-18.50
217.71,0.15,-0.25,9.23,29.88,90.0,24.1,17.73,33.29,18.95,-19.74
217.75,0.16,-0.24,9.21,29.88,90.0,24.1,16.65,33.29,20.20,-20.99
217.79,0.14,-0.11,9.22,29.88,90.0,24.1,17.61,33.07,21.45,-23.48
217.83,0.12,-0.11,9.22,29.88,90.0,24.1,17.49,33.07,21.45,-24.73
217.87,0.18,-0.14,9.17,29.88,90.0,24.1,17.61,33.29,22.70,-23.48
217.91,0.18,0.14,9.22,29.88,90.0,24.1,17.49,33.52,22.70,-25.98
217.95,0.14,0.27,9.18,29.88,90.0,24.1,17.37,33.29,23.95,-24.73
217.99,0.19,0.47,9.17,29.88,90.0,24.1,17.37,33.29,22.70,-22.24
218.03,0.18,0.35,9.15,29.88,90.0,24.1,17.25,33.07,21.45,-19.74
218.07,0.14,0.44,9.19,29.88,90.0,24.1,17.61,33.52,21.45,-18.50
218.11,0.16,0.88,9.15,29.88,90.0,24.1,17.13,33.52,20.20,-14.76
218.15,0.16,0.94,9.13,29.88,90.0,24.1,17.85,33.07,18.95,-12.27
218.19,0.17,1.13,9.13,29.88,90.0,24.1,17.61,33.52,16.45,-9.77
218.23,0.16,1.22,9.14,29.88,90.0,24.1,17.37,33.52,13.95,-6.03
218.27,0.12,1.24,9.17,29.88,90.0,24.1,17.13,33.29,12.70,-3.54
218.31,0.12,1.70,9.16,29.88,90.0,24.1,17.37,33.07,10.20,0.20
218.35,0.15,1.82,9.11,29.88,90.0,24.1,17.61,33.07,5.20,2.69
218.39,0.19,1.56,9.16,29.88,90.0,24.1,17.61,33.29,2.70,6.43
218.43,0.11,2.01,9.16,29.88,90.0,24.1,17.61,33.29,0.20,10.17
218.47,0.11,2.11,9.15,29.88,90.0,24.1,17.25,33.29,-2.30,12.66
218.51,0.18,2.13,9.12,29.88,90.0,24.1,17.37,33.29,-4.80,15.16
218.55,0.14,2.30,9.15,29.88,90.0,24.1,17.37,33.07,-8.55,17.65
218.59,0.12,2.12,9.15,29.88,90.0,24.1,17.61,33.29,-11.05,21.39
218.63,0.16,2.22,9.16,29.88,90.0,24.1,17.73,33.07,-13.55,21.39
218.67,0.11,2.23,9.16,29.88,90.0,24.1,17.85,33.07,-13.55,23.88
218.71,0.17,2.05,9.14,29.88,90.0,24.1,18.09,32.85,-18.55,25.13
218.75,0.15,1.92,9.21,29.88,90.0,24.1,17.13,33.29,-19.80,25.13
218.79,0.12,1.92,9.11,29.88,90.0,24.1,17.49,33.52,-21.05,25.13
218.83,0.14,1.83,9.10,29.88,90.0,24.1,17.73,33.07,-22.30,22.64
218.87,0.14,1.57,9.15,29.88,90.0,24.1,17.61,33.52,-22.30,22.64
218.91,0.12,1.64,9.17,29.88,90.0,24.1,17.61,32.85,-23.55,22.64
218.95,0.13,1.50,9.07,29.88,90.0,24.1,17.61,33.29,-24.80,22.64
218.99,0.15,0.78,9.26,29.88,90.0,24.1,17.73,33.29,-23.55,18.90
219.03,0.21,1.11,9.16,29.88,90.0,24.1,17.37,33.52,-21.05,18.90
219.07,0.07,0.97,9.20,29.88,90.0,24.1,17.49,33.75,-19.80,17.65
219.11,0.09,0.68,9.16,29.88,90.0,24.1,17.73,33.29,-17.30,15.16
219.15,0.20,0.63,9.15,29.88,90.0,24.1,17.49,33.07,-13.55,13.91
219.19,0.18,0.27,9.20,29.88,90.0,24.1,17.61,33.52,-9.80,11.42
219.23,0.20,0.18,9.18,29.88,90.0,24.1,17.49,33.29,-8.55,8.92
219.27,0.20,0.34,9.12,29.88,90.0,24.1,17.73,33.52,-7.30,7.68
219.31,0.13,-0.04,9.24,29.88,90.0,24.1,17.61,33.29,-4.80,3.94
219.35,0.20,-0.21,9.23,29.88,90.0,24.1,17.49,33.52,0.20,2.69
219.39,0.18,-0.35,9.18,29.88,90.0,24.1,17.73,33.07,1.45,-1.05
219.43,0.22,-0.19,9.18,29.88,90.0,24.1,17.85,33.29,5.20,-2.29
219.47,0.20,-0.17,9.31,29.88,90.0,24.1,17.73,33.75,8.95,-4.79
219.51,0.18,-0.37,9.10,29.88,90.0,24.1,17.73,33.07,10.20,-8.53
219.55,0.19,-0.35,9.22,29.88,90.0,24.1,17.37,33.29,12.70,-11.02
219.59,0.14,-0.30,9.27,29.88,90.0,24.1,17.49,33.07,16.45,-13.51
219.63,0.18,-0.36,9.23,29.88,90.0,24.1,17.61,33.07,16.45,-14.76
219.67,0.16,-0.37,9.26,29.88,90.0,24.1,17.13,33.52,18.95,-16.00
219.71,0.17,-0.25,9.18,29.88,90.0,24.1,17.97,33.07,18.95,-19.74
219.75,0.22,-0.25,9.18,29.88,90.0,24.1,17.25,33.07,18.95,-20.99
219.79,0.13,-0.21,9.24,29.88,90.0,24.1,18.09,33.29,20.20,-22.24
219.83,0.17,-0.03,9.22,29.88,90.0,24.1,17.13,33.29,21.45,-23.48
219.87,0.17,-0.20,9.20,29.88,90.0,24.1,17.37,33.52,23.95,-24.73
219.91,0.16,0.04,9.17,29.88,90.0,24.1,17.73,33.29,23.95,-24.73
219.95,0.18,0.26,9.19,29.88,90.0,24.1,17.49,33.29,21.45,-25.98
219.99,0.17,0.29,9.19,29.88,90.0,24.1,17.49,33.29,22.70,-23.48
220.03,0.14,0.44,9.18,29.88,90.0,24.1,17.49,33.52,22.70,-19.74
220.07,0.18,0.47,9.17,29.88,90.0,24.1,17.73,33.29,21.45,-18.50
220.11,0.17,0.70,9.16,29.88,90.0,24.1,17.73,33.52,20.20,-16.00
220.15,0.15,1.01,9.16,29.88,90.0,24.1,17.37,33.52,18.95,-13.51
220.19,0.15,0.96,9.17,29.88,90.0,24.1,17.25,33.52,17.70,-9.77
220.23,0.11,1.17,9.14,29.88,90.0,24.1,17.73,33.07,13.95,-7.28
220.27,0.15,1.29,9.17,29.88,90.0,24.1,19.04,33.07,11.45,-4.79
220.31,0.17,1.48,9.14,29.88,90.0,24.1,17.61,32.85,7.70,-1.05
220.35,0.17,1.83,9.11,29.88,90.0,24.1,17.49,33.29,7.70,1.45
220.39,0.17,1.73,9.14,29.88,90.0,24.1,17.73,33.52,2.70,6.43
220.43,0.14,1.94,9.16,29.88,90.0,24.1,17.73,33.29,1.45,10.17
220.47,0.13,2.14,9.10,29.88,90.0,24.1,16.89,33.29,0.20,13.91
220.51,0.19,2.15,9.17,29.88,90.0,24.1,17.73,33.29,-4.80,15.16
220.55,0.11,2.21,9.17,29.88,90.0,24.1,17.49,33.29,-7.30,17.65
220.59,0.15,2.06,9.15,29.88,90.0,24.1,17.61,33.07,-9.80,20.14
220.63,0.14,2.20,9.14,29.88,90.0,24.1,17.61,33.52,-12.30,23.88
220.67,0.11,2.30,9.13,29.88,90.0,24.1,17.49,33.29,-13.55,23.88
220.71,0.21,2.04,9.15,29.88,90.0,24.1,17.61,33.52,-16.05,23.88
220.75,0.14,2.03,9.16,29.88,90.0,24.1,17.25,33.29,-18.55,23.88
220.79,0.12,1.92,9.13,29.88,90.0,24.1,17.97,33.52,-19.80,25.13
220.83,0.12,1.84,9.12,29.88,90.0,24.1,17.13,33.07,-22.30,23.88
220.87,0.08,1.75,9.20,29.88,90.0,24.1,18.09,33.52,-22.30,23.88
220.91,0.10,1.34,9.34,29.88,90.0,24.1,17.73,33.07,-23.55,21.39
220.95,0.13,1.44,9.23,29.88,90.0,24.1,17.25,33.29,-23.55,22.64
220.99,0.23,1.28,9.07,29.88,90.0,24.1,17.73,33.52,-23.55,21.39
221.03,0.16,0.79,9.24,29.88,90.0,24.1,17.61,33.07,-21.05,18.90
221.07,0.18,1.13,9.07,29.88,90.0,24.1,17.73,33.29,-21.05,18.90
221.11,0.15,0.84,9.17,29.88,90.0,24.1,17.73,33.29,-18.55,15.16
221.15,0.15,0.50,9.20,29.88,90.0,24.1,17.61,33.29,-13.55,13.91
221.19,0.23,0.34,9.08,29.88,90.0,24.1,17.73,33.07,-12.30,10.17
221.23,0.14,0.17,9.27,29.88,90.0,24.1,18.68,33.52,-9.80,11.42
221.27,0.13,0.19,9.19,29.88,90.0,24.1,17.37,33.52,-6.05,6.43
221.31,0.16,-0.03,9.17,29.88,90.0,24.1,17.85,33.75,-3.55,5.19
221.35,0.23,-0.19,9.19,29.88,90.0,24.1,17.37,33.52,-1.05,2.69
221.39,0.20,-0.36,9.15,29.88,90.0,24.1,17.97,33.07,2.70,-1.05
221.43,0.20,-0.36,9.24,29.88,90.0,24.1,17.13,33.07,3.95,-3.54
221.47,0.11,-0.33,9.28,29.88,90.0,24.1,17.73,33.52,7.70,-4.79
221.51,0.14,-0.31,9.21,29.88,90.0,24.1,17.73,33.07,10.20,-7.28
221.55,0.18,-0.42,9.28,29.88,90.0,24.1,17.49,33.52,12.70,-9.77
221.59,0.18,-0.30,9.13,29.88,90.0,24.1,17.73,33.29,13.95,-12.27
221.63,0.17,-0.42,9.30,29.88,90.0,24.1,17.49,33.07,15.20,-16.00
221.67,0.16,-0.29,9.23,29.88,90.0,24.1,17.25,33.07,17.70,-17.25
221.71,0.17,-0.35,9.20,29.88,90.0,24.1,17.61,33.07,18.95,-18.50
221.75,0.17,-0.28,9.22,29.88,90.0,24.1,17.37,33.29,20.20,-20.99
221.79,0.14,-0.18,9.22,29.88,90.0,24.1,17.85,33.75,20.20,-22.24
221.83,0.17,-0.11,9.23,29.88,90.0,24.1,17.37,33.52,22.70,-23.48
221.87,0.20,-0.14,9.20,29.88,90.0,24.1,17.25,33.07,21.45,-24.73
221.91,0.15,-0.06,9.21,29.88,90.0,24.1,17.61,33.52,22.70,-24.73
221.95,0.20,0.22,9.17,29.88,90.0,24.1,17.37,33.07,22.70,-24.73
221.99,0.17,0.34,9.21,29.88,90.0,24.1,17.97,33.52,23.95,-22.24
222.03,0.16,0.37,9.19,29.88,90.0,24.1,17.49,33.29,21.45,-20.99
222.07,0.20,0.57,9.16,29.88,90.0,24.1,17.97,33.07,20.20,-19.74
222.11,0.18,0.61,9.17,29.88,90.0,24.1,17.49,33.52,20.20,-14.76
222.15,0.18,0.95,9.15,29.88,90.0,24.1,17.37,33.07,18.95,-13.51
222.19,0.15,1.05,9.17,29.88,90.0,24.1,17.61,33.29,17.70,-9.77
222.23,0.19,1.07,9.14,29.88,90.0,24.1,17.61,33.52,13.95,-7.28
222.27,0.18,1.40,9.16,29.88,90.0,24.1,17.61,33.07,12.70,-4.79
222.31,0.16,1.49,9.14,29.88,90.0,24.1,17.73,33.07,10.20,-1.05
222.35,0.15,1.66,9.16,29.88,90.0,24.1,17.73,33.29,6.45,1.45
222.39,0.12,1.87,9.13,29.88,90.0,24.1,17.49,33.52,3.95,6.43
222.43,0.15,1.83,9.15,29.88,90.0,24.1,17.49,33.07,0.20,7.68
222.47,0.15,1.98,9.17,29.88,90.0,24.1,17.13,33.29,-1.05,11.42
222.51,0.08,2.30,9.13,29.88,90.0,24.1,18.09,33.29,-4.80,15.16
222.55,0.14,2.08,9.15,29.88,90.0,24.1,17.37,33.29,-8.55,16.40
222.59,0.15,2.10,9.16,29.88,90.0,24.1,17.49,33.29,-9.80,18.90
222.63,0.14,2.30,9.13,29.88,90.0,24.1,17.49,33.52,-12.30,21.39
222.67,0.16,2.25,9.14,29.88,90.0,24.1,17.01,33.52,-13.55,21.39
222.71,0.15,2.07,9.14,29.88,90.0,24.1,18.09,33.29,-18.55,23.88
222.75,0.13,2.06,9.18,29.88,90.0,24.1,17.37,33.52,-17.30,25.13
222.79,0.12,1.93,9.16,29.88,90.0,24.1,17.37,33.52,-19.80,25.13
222.83,0.15,1.85,9.13,29.88,90.0,24.1,17.61,33.29,-22.30,25.13
222.87,0.14,1.81,9.15,29.88,90.0,24.1,17.73,33.29,-23.55,23.88
222.91,0.12,1.49,9.29,29.88,90.0,24.1,17.61,33.52,-23.55,23.88
222.95,0.18,1.52,9.06,29.88,90.0,24.1,17.37,33.07,-23.55,21.39
222.99,0.14,1.41,9.18,29.88,90.0,24.1,17.73,33.52,-21.05,21.39
223.03,0.19,0.67,9.20,29.88,90.0,24.1,17.73,33.29,-21.05,18.90
223.07,0.18,0.98,9.15,29.88,90.0,24.1,18.21,33.07,-21.05,17.65
223.11,0.07,1.11,9.18,29.88,90.0,24.1,17.49,33.07,-18.55,16.40
223.15,0.18,0.45,9.09,29.88,90.0,24.1,17.73,33.29,-14.80,15.16
223.19,0.22,0.46,9.03,29.88,90.0,24.1,17.73,33.07,-13.55,11.42
223.23,0.18,0.40,9.20,29.88,90.0,24.1,17.37,33.52,-9.80,10.17
223.27,0.12,0.14,9.19,29.88,90.0,24.1,17.73,33.29,-8.55,6.43
223.31,0.20,0.11,9.22,29.88,90.0,24.1,17.37,33.52,-4.80,5.19
